NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
40625,INQS 019,Analisis Numerico y Programaci,OO1,J,0900-1159,ISLAS - MORALES JOSE MANUEL,1FIQ4/202,9:00:00,11:59:00
44864,INQS 017,Balance de Materia y Energia,OO1,L,1100-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA6/205,11:00:00,13:59:00
44864,INQS 017,Balance de Materia y Energia,OO1,J,1100-1259,CABRERA - PELAEZ JOSE MANUEL,12EMA7/106,11:00:00,12:59:00
44864,INQS 017,Balance de Materia y Energia,OO1,V,1100-1259,CABRERA - PELAEZ JOSE MANUEL,12EMA7/106,11:00:00,12:59:00
44864,INQS 017,Balance de Materia y Energia,OO1,A,1100-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA2/203A,11:00:00,13:59:00
44864,INQS 017,Balance de Materia y Energia,OO1,M,1100-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA2/203A,11:00:00,13:59:00
40620,INQS 009,Calculo III,OO1,A,1400-1559,TEPALE - OCHOA NANCY,1FIQ7/206,14:00:00,15:59:00
40620,INQS 009,Calculo III,OO1,J,1400-1559,TEPALE - OCHOA NANCY,1FIQ7/206,14:00:00,15:59:00
40620,INQS 009,Calculo III,OO1,L,1400-1659,TEPALE - OCHOA NANCY,1FIQ7/206,14:00:00,16:59:00
40620,INQS 009,Calculo III,OO1,M,1400-1659,TEPALE - OCHOA NANCY,1FIQ7/206,14:00:00,16:59:00
40620,INQS 009,Calculo III,OO1,V,1400-1659,TEPALE - OCHOA NANCY,1FIQ7/206,14:00:00,16:59:00
41000,INQS 028,Dibujo Tecnico,OO1,V,1500-1559,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,15:00:00,15:59:00
41000,INQS 028,Dibujo Tecnico,OO1,L,1500-1659,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,15:00:00,16:59:00
41000,INQS 028,Dibujo Tecnico,OO1,A,1500-1659,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,15:00:00,16:59:00
41000,INQS 028,Dibujo Tecnico,OO1,M,1500-1659,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,15:00:00,16:59:00
41000,INQS 028,Dibujo Tecnico,OO1,J,1500-1659,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,15:00:00,16:59:00
40623,INQS 018,Diseno Expe. y Analisis Datos,OO1,M,1200-1359,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201,12:00:00,13:59:00
40623,INQS 018,Diseno Expe. y Analisis Datos,OO1,J,1200-1359,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201,12:00:00,13:59:00
40623,INQS 018,Diseno Expe. y Analisis Datos,OO1,L,1200-1459,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/103,12:00:00,14:59:00
40623,INQS 018,Diseno Expe. y Analisis Datos,OO1,A,1200-1459,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/103,12:00:00,14:59:00
40623,INQS 018,Diseno Expe. y Analisis Datos,OO1,V,1200-1459,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/103,12:00:00,14:59:00
