NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,ini ,fin ,Hora_ini,Hora_fin
42939,INQS 017,Balance de Materia y Energia,OO3,J,1600-1759,JUAREZ - NAHUATLATO RAUL,12EMA7/107,1600,1759,16:00,17:59
38282,INQS 027,Bioquimica General,OO1,A,1700-1759,CARREON - HERRERA NAYELI ITZELL,1FIQ2/201,1700,1759,17:00,17:59
38282,INQS 027,Bioquimica General,OO1,M,1700-1759,CARREON - HERRERA NAYELI ITZELL,1FIQ2/201,1700,1759,17:00,17:59
38282,INQS 027,Bioquimica General,OO1,J,1700-1759,CARREON - HERRERA NAYELI ITZELL,1FIQ2/201,1700,1759,17:00,17:59
38283,IAMS 256,Biorremediacion,OO1,L,0800-0859,MENDOZA - HERNANDEZ JOSE CARLOS,1FIQ2/202,0800,0859,08:00,08:59
38283,IAMS 256,Biorremediacion,OO1,A,0800-0859,MENDOZA - HERNANDEZ JOSE CARLOS,1FIQ2/202,0800,0859,08:00,08:59
38283,IAMS 256,Biorremediacion,OO1,M,0800-0859,MENDOZA - HERNANDEZ JOSE CARLOS,1FIQ2/202,0800,0859,08:00,08:59
38283,IAMS 256,Biorremediacion,OO1,J,0800-0859,MENDOZA - HERNANDEZ JOSE CARLOS,1FIQ2/202,0800,0859,08:00,08:59
38284,IAMS 256,Biorremediacion,OO2,A,1500-1559,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ2/202,1500,1559,15:00,15:59
38284,IAMS 256,Biorremediacion,OO2,M,1500-1559,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ2/202,1500,1559,15:00,15:59
38284,IAMS 256,Biorremediacion,OO2,J,1500-1559,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ2/202,1500,1559,15:00,15:59
38284,IAMS 256,Biorremediacion,OO2,V,1500-1559,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ2/202,1500,1559,15:00,15:59
38285,IAMS 255,Biotecnologia y Bioprocesos Amb,OO1,L,1100-1159,"AVELINO - FLORES MARIA DEL CARMEN
GUADALUPE",1FIQ2/203,1100,1159,11:00,11:59
38285,IAMS 255,Biotecnologia y Bioprocesos Amb,OO1,A,1100-1159,"AVELINO - FLORES MARIA DEL CARMEN
GUADALUPE",1FIQ2/203,1100,1159,11:00,11:59
38285,IAMS 255,Biotecnologia y Bioprocesos Amb,OO1,M,1100-1159,"AVELINO - FLORES MARIA DEL CARMEN
GUADALUPE",1FIQ2/203,1100,1159,11:00,11:59
38285,IAMS 255,Biotecnologia y Bioprocesos Amb,OO1,J,1100-1159,"AVELINO - FLORES MARIA DEL CARMEN
GUADALUPE",1FIQ2/203,1100,1159,11:00,11:59
42989,INQS 008,Calculo II,OO1,L,1000-1159,TEPALE - OCHOA NANCY,12EMA4/106A,1000,1159,10:00,11:59
