NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
37975,IQUS 800,Biotecnologia,OO1,A,1100-1159,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,11:00,11:59
37975,IQUS 800,Biotecnologia,OO1,M,1100-1159,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,11:00,11:59
37976,IQUS 800,Biotecnologia,OO2,L,1600-1659,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,16:00,16:59
37976,IQUS 800,Biotecnologia,OO2,A,1600-1659,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,16:00,16:59
37976,IQUS 800,Biotecnologia,OO2,M,1600-1659,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,16:00,16:59
42989,INQS 008,Calculo II,OO1,L,1000-1159,TEPALE - OCHOA NANCY,12EMA4/106A,10:00,11:59
42989,INQS 008,Calculo II,OO1,M,1000-1159,TEPALE - OCHOA NANCY,12EMA4/106A,10:00,11:59
43012,INQS 008,Calculo II,OO2,L,1200-1359,PEREZ - AZCONA MARIA DE LOS ANGELES,12EMA4/106A,12:00,13:59
43012,INQS 008,Calculo II,OO2,M,1200-1359,PEREZ - AZCONA MARIA DE LOS ANGELES,12EMA4/106A,12:00,13:59
43014,INQS 008,Calculo II,OO3,V,0800-0959,OJEDA - OROZCO ARZENIO SERVANDO,12EMA7/106,8:00,9:59
43014,INQS 008,Calculo II,OO3,S,0800-0959,OJEDA - OROZCO ARZENIO SERVANDO,12EMA7/106,8:00,9:59
43359,INQS 008,Calculo II,OO4,A,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
43359,INQS 008,Calculo II,OO4,M,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
43359,INQS 008,Calculo II,OO4,J,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
43359,INQS 008,Calculo II,OO4,V,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
37399,INQS 009,Calculo III,OO1,A,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37399,INQS 009,Calculo III,OO1,M,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37399,INQS 009,Calculo III,OO1,J,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37399,INQS 009,Calculo III,OO1,V,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,L,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,A,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,M,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,J,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,V,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,L,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,A,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,M,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,J,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,V,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
37979,IQUS 254,Catalisis y React.Heterogeneos,OO3,L,0900-0959,CHE - GALICIA GAMALIEL,1FIQ1/305,9:00,9:59
37979,IQUS 254,Catalisis y React.Heterogeneos,OO3,A,0900-0959,CHE - GALICIA GAMALIEL,1FIQ1/305,9:00,9:59
37979,IQUS 254,Catalisis y React.Heterogeneos,OO3,M,0900-0959,CHE - GALICIA GAMALIEL,1FIQ1/305,9:00,9:59
37979,IQUS 254,Catalisis y React.Heterogeneos,OO3,J,0900-0959,CHE - GALICIA GAMALIEL,1FIQ1/305,9:00,9:59
37979,IQUS 254,Catalisis y React.Heterogeneos,OO3,V,0900-0959,CHE - GALICIA GAMALIEL,1FIQ1/305,9:00,9:59
37980,IQUS 254,Catalisis y React.Heterogeneos,OO4,L,1200-1259,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,12:00,12:59
37980,IQUS 254,Catalisis y React.Heterogeneos,OO4,A,1200-1259,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,12:00,12:59
37980,IQUS 254,Catalisis y React.Heterogeneos,OO4,M,1200-1259,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,12:00,12:59
37980,IQUS 254,Catalisis y React.Heterogeneos,OO4,J,1200-1259,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,12:00,12:59
37980,IQUS 254,Catalisis y React.Heterogeneos,OO4,V,1200-1259,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,12:00,12:59
37981,IQUS 252,Cinetica y Reactores Homogeneo,OO1,L,1000-1059,ORTEGA - PEREZ JORGE,1FIQ1/303,10:00,10:59
37981,IQUS 252,Cinetica y Reactores Homogeneo,OO1,A,1000-1059,ORTEGA - PEREZ JORGE,1FIQ1/303,10:00,10:59
37981,IQUS 252,Cinetica y Reactores Homogeneo,OO1,M,1000-1059,ORTEGA - PEREZ JORGE,1FIQ1/303,10:00,10:59
37981,IQUS 252,Cinetica y Reactores Homogeneo,OO1,J,1000-1059,ORTEGA - PEREZ JORGE,1FIQ1/303,10:00,10:59
37981,IQUS 252,Cinetica y Reactores Homogeneo,OO1,V,1000-1059,ORTEGA - PEREZ JORGE,1FIQ1/303,10:00,10:59
37982,IQUS 252,Cinetica y Reactores Homogeneo,OO2,L,1100-1159,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,11:00,11:59
37982,IQUS 252,Cinetica y Reactores Homogeneo,OO2,A,1100-1159,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,11:00,11:59
37982,IQUS 252,Cinetica y Reactores Homogeneo,OO2,M,1100-1159,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,11:00,11:59
37982,IQUS 252,Cinetica y Reactores Homogeneo,OO2,J,1100-1159,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,11:00,11:59
37982,IQUS 252,Cinetica y Reactores Homogeneo,OO2,V,1100-1159,VARGAS - SANCHEZ TOBIAS MARIO,1FIQ1/303,11:00,11:59
37983,IQUS 252,Cinetica y Reactores Homogeneo,OO3,L,1600-1659,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,16:00,16:59
37983,IQUS 252,Cinetica y Reactores Homogeneo,OO3,A,1600-1659,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,16:00,16:59
37983,IQUS 252,Cinetica y Reactores Homogeneo,OO3,M,1600-1659,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,16:00,16:59
37983,IQUS 252,Cinetica y Reactores Homogeneo,OO3,J,1600-1659,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,16:00,16:59
37983,IQUS 252,Cinetica y Reactores Homogeneo,OO3,V,1600-1659,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,16:00,16:59
37984,IQUS 802,Dibujo Tecnico,OO1,J,1300-1359,FLORES - OLMOS LUIS MISAEL,1FIQ2/202,13:00,13:59
37984,IQUS 802,Dibujo Tecnico,OO1,A,1300-1359,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,13:00,13:59
37984,IQUS 802,Dibujo Tecnico,OO1,V,1300-1359,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,13:00,13:59
37859,ISIQ 201,Fisicoquimica IV,OO1,L,1000-1059,RIVERA - MORALES MARIA CATALINA,1FIQ1/305,10:00,10:59
37859,ISIQ 201,Fisicoquimica IV,OO1,A,1000-1059,RIVERA - MORALES MARIA CATALINA,1FIQ1/305,10:00,10:59
37859,ISIQ 201,Fisicoquimica IV,OO1,M,0900-1059,RIVERA - MORALES MARIA CATALINA,1FIQ6/106,9:00,10:59
38024,INQS 021,Flujo de Fluidos,OO1,A,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,9:00,9:59
38024,INQS 021,Flujo de Fluidos,OO1,M,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,9:00,9:59
38024,INQS 021,Flujo de Fluidos,OO1,J,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,9:00,9:59
38024,INQS 021,Flujo de Fluidos,OO1,V,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,9:00,9:59
38026,INQS 021,Flujo de Fluidos,OO2,L,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,11:00,11:59
38026,INQS 021,Flujo de Fluidos,OO2,A,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,11:00,11:59
38026,INQS 021,Flujo de Fluidos,OO2,M,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,11:00,11:59
38026,INQS 021,Flujo de Fluidos,OO2,J,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,11:00,11:59
38027,INQS 021,Flujo de Fluidos,OO3,L,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,16:00,16:59
38027,INQS 021,Flujo de Fluidos,OO3,A,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,16:00,16:59
38027,INQS 021,Flujo de Fluidos,OO3,M,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,16:00,16:59
38027,INQS 021,Flujo de Fluidos,OO3,J,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,16:00,16:59
38029,INQS 021,Flujo de Fluidos,OO4,L,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,14:00,14:59
38029,INQS 021,Flujo de Fluidos,OO4,A,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,14:00,14:59
38029,INQS 021,Flujo de Fluidos,OO4,M,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,14:00,14:59
38029,INQS 021,Flujo de Fluidos,OO4,J,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,14:00,14:59
38030,ISIQ 202,Ing. de Separaciones Mecanicas,OO1,L,1000-1059,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,10:00,10:59
38030,ISIQ 202,Ing. de Separaciones Mecanicas,OO1,A,1000-1059,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,10:00,10:59
38030,ISIQ 202,Ing. de Separaciones Mecanicas,OO1,M,1000-1059,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,10:00,10:59
38030,ISIQ 202,Ing. de Separaciones Mecanicas,OO1,J,1000-1059,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,10:00,10:59
38032,ISIQ 202,Ing. de Separaciones Mecanicas,OO2,A,1400-1459,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/202,14:00,14:59
38032,ISIQ 202,Ing. de Separaciones Mecanicas,OO2,M,1400-1459,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/202,14:00,14:59
38032,ISIQ 202,Ing. de Separaciones Mecanicas,OO2,J,1400-1459,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/202,14:00,14:59
38032,ISIQ 202,Ing. de Separaciones Mecanicas,OO2,V,1400-1459,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/202,14:00,14:59
38034,ISIQ 205,Ingen. de Servicios Auxiliares,OO1,L,1200-1259,PACHECO - AGUIRRE FRANCISCO MANUEL,1FIQ1/203,12:00,12:59
38034,ISIQ 205,Ingen. de Servicios Auxiliares,OO1,A,1200-1259,PACHECO - AGUIRRE FRANCISCO MANUEL,1FIQ1/203,12:00,12:59
38034,ISIQ 205,Ingen. de Servicios Auxiliares,OO1,M,1200-1259,PACHECO - AGUIRRE FRANCISCO MANUEL,1FIQ1/203,12:00,12:59
38034,ISIQ 205,Ingen. de Servicios Auxiliares,OO1,J,1200-1259,PACHECO - AGUIRRE FRANCISCO MANUEL,1FIQ1/203,12:00,12:59
38036,ISIQ 205,Ingen. de Servicios Auxiliares,OO2,L,1700-1759,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,17:00,17:59
38036,ISIQ 205,Ingen. de Servicios Auxiliares,OO2,A,1700-1759,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,17:00,17:59
38036,ISIQ 205,Ingen. de Servicios Auxiliares,OO2,M,1700-1759,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,17:00,17:59
38036,ISIQ 205,Ingen. de Servicios Auxiliares,OO2,J,1700-1759,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/203,17:00,17:59
38037,ISIQ 209,Ingenieria de Proyectos,OO1,L,0900-0959,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/206,9:00,9:59
38037,ISIQ 209,Ingenieria de Proyectos,OO1,A,0900-0959,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/206,9:00,9:59
38037,ISIQ 209,Ingenieria de Proyectos,OO1,M,0900-0959,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/206,9:00,9:59
38037,ISIQ 209,Ingenieria de Proyectos,OO1,J,0900-0959,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/206,9:00,9:59
38037,ISIQ 209,Ingenieria de Proyectos,OO1,V,0900-0959,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/206,9:00,9:59
38039,ISIQ 209,Ingenieria de Proyectos,OO2,L,1200-1259,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/103,12:00,12:59
